BGC	Accession ID	Description	Product Prediction	BiG-SCAPE class	Organism	Taxonomy
c00002_SGB_124...region001	c00002_SGB_124..	SGB_1240_k141_1123590	ranthipeptide	RiPPs		
c00002_SGB_125...region001	c00002_SGB_125..	SGB_12519_k141_1521844	betalactone	Others		
c00002_SGB_126...region001	c00002_SGB_126..	SGB_12684_k141_135024	RRE-containing	RiPPs		
c00002_SGB_127...region001	c00002_SGB_127..	SGB_12769_k141_1059038	betalactone	Others		
c00002_SGB_128...region001	c00002_SGB_128..	SGB_12874_k141_462709	RRE-containing	RiPPs		
c00002_SGB_129...region001	c00002_SGB_129..	SGB_1292_k141_2152712	ranthipeptide	RiPPs		
c00002_SGB_130...region001	c00002_SGB_130..	SGB_13060_k141_594010	RRE-containing	RiPPs		
c00002_SGB_131...region001	c00002_SGB_131..	SGB_13166_k141_1025630	betalactone	Others		
c00002_SGB_370...region001	c00002_SGB_370..	SGB_3706_k141_1969804	betalactone.NRPS-like	Others		
c00002_SGB_380...region001	c00002_SGB_380..	SGB_3802_k141_1888	arylpolyene	Others		
c00002_SGB_428...region001	c00002_SGB_428..	SGB_4280_k141_1521795	ranthipeptide	RiPPs		
c00002_SGB_470...region001	c00002_SGB_470..	SGB_4706_k141_486861	betalactone	Others		
c00002_SGB_477...region001	c00002_SGB_477..	SGB_4778_k141_3376407	RRE-containing	RiPPs		
c00002_SGB_505...region001	c00002_SGB_505..	SGB_5059_k141_2045338	betalactone	Others		
c00002_SGB_510...region001	c00002_SGB_510..	SGB_5106_k141_3009493	ranthipeptide	RiPPs		
c00002_SGB_526...region001	c00002_SGB_526..	SGB_5264_k141_2324932	arylpolyene	Others		
c00002_SGB_538...region001	c00002_SGB_538..	SGB_5385_k141_3676187	hserlactone	Others		
c00002_SGB_560...region001	c00002_SGB_560..	SGB_5603_k141_2079014	cyclic-lactone-autoinducer	RiPPs		
c00002_SGB_581...region001	c00002_SGB_581..	SGB_5818_k141_344503	RRE-containing	RiPPs		
c00002_SGB_586...region001	c00002_SGB_586..	SGB_5869_k141_1029637	ranthipeptide	RiPPs		
c00002_SGB_603...region001	c00002_SGB_603..	SGB_603_k141_1607405	RRE-containing	RiPPs		
c00002_SGB_610...region001	c00002_SGB_610..	SGB_6106_k141_1369202	RRE-containing	RiPPs		
c00002_SGB_621...region001	c00002_SGB_621..	SGB_6214_k141_573275	arylpolyene	Others		
c00002_SGB_628...region001	c00002_SGB_628..	SGB_6286_k141_284142	NRPS	NRPS		
c00002_SGB_632...region001	c00002_SGB_632..	SGB_6326_k141_746031	RRE-containing	RiPPs		
c00002_SGB_651...region001	c00002_SGB_651..	SGB_6512_k141_2772044	betalactone	Others		
c00002_SGB_660...region001	c00002_SGB_660..	SGB_6605_k141_3030721	RRE-containing	RiPPs		
c00002_SGB_661...region001	c00002_SGB_661..	SGB_6618_k141_1634420	NRPS-like	NRPS		
c00002_SGB_666...region001	c00002_SGB_666..	SGB_666_k141_1545840	RRE-containing	RiPPs		
c00002_SGB_670...region001	c00002_SGB_670..	SGB_6701_k141_2442223	betalactone	Others		
c00002_SGB_683...region001	c00002_SGB_683..	SGB_6832_k141_2434636	NRPS	NRPS		
c00002_SGB_694...region001	c00002_SGB_694..	SGB_6945_k141_405883	terpene	Terpene		
c00002_SGB_710...region001	c00002_SGB_710..	SGB_710_k141_1743359	NRPS-like	NRPS		
c00002_SGB_723...region001	c00002_SGB_723..	SGB_7233_k141_40707	RRE-containing	RiPPs		
c00002_SGB_770...region001	c00002_SGB_770..	SGB_7703_k141_768100	ranthipeptide	RiPPs		
c00002_SGB_841...region001	c00002_SGB_841..	SGB_8419_k141_828585	ranthipeptide	RiPPs		
c00002_SGB_843...region001	c00002_SGB_843..	SGB_8435_k141_584672	betalactone	Others		
c00002_SGB_852...region001	c00002_SGB_852..	SGB_8524_k141_1838	ranthipeptide	RiPPs		
c00002_SGB_854...region001	c00002_SGB_854..	SGB_8546_k141_1504358	ranthipeptide	RiPPs		
c00002_SGB_856...region001	c00002_SGB_856..	SGB_8563_k141_1756911	betalactone	Others		
c00002_SGB_865...region001	c00002_SGB_865..	SGB_8656_k141_324283	RRE-containing	RiPPs		
c00002_SGB_876...region001	c00002_SGB_876..	SGB_8766_k141_3311020	hserlactone	Others		
c00002_SGB_947...region001	c00002_SGB_947..	SGB_9473_k141_1365355	RRE-containing	RiPPs		
c00002_SGB_951...region001	c00002_SGB_951..	SGB_9511_k141_937422	NRPS	NRPS		
c00002_SGB_979...region001	c00002_SGB_979..	SGB_9797_k141_749721	ranthipeptide	RiPPs		
c00002_SGB_980...region001	c00002_SGB_980..	SGB_9805_k141_1203971	RRE-containing.cyclic-lactone-autoinducer	RiPPs		
c00002_SGB_989...region001	c00002_SGB_989..	SGB_9898_k141_83279	ranthipeptide	RiPPs		
c00003_SGB_100...region001	c00003_SGB_100..	SGB_10089_k141_657358	ranthipeptide	RiPPs		
c00003_SGB_101...region001	c00003_SGB_101..	SGB_10157_k141_1348016	NRPS-like	NRPS		
c00003_SGB_103...region001	c00003_SGB_103..	SGB_10340_k141_2113350	ranthipeptide	RiPPs		
c00003_SGB_104...region001	c00003_SGB_104..	SGB_10495_k141_891549	ranthipeptide	RiPPs		
c00003_SGB_105...region001	c00003_SGB_105..	SGB_1051_k141_1662124	ranthipeptide	RiPPs		
c00003_SGB_106...region001	c00003_SGB_106..	SGB_10640_k141_1228212	RRE-containing	RiPPs		
c00003_SGB_108...region001	c00003_SGB_108..	SGB_10862_k141_750466	betalactone	Others		
c00003_SGB_109...region001	c00003_SGB_109..	SGB_1093_k141_1106793	terpene	Terpene		
c00003_SGB_112...region001	c00003_SGB_112..	SGB_11243_k141_913016	ranthipeptide	RiPPs		
c00003_SGB_113...region001	c00003_SGB_113..	SGB_11364_k141_131834	thioamitides	RiPPs		
c00003_SGB_115...region001	c00003_SGB_115..	SGB_11591_k141_144587	betalactone	Others		
c00003_SGB_117...region001	c00003_SGB_117..	SGB_11751_k141_309982	betalactone.ranthipeptide	Others		
c00003_SGB_118...region001	c00003_SGB_118..	SGB_11879_k141_1055837	RRE-containing	RiPPs		
c00003_SGB_120...region001	c00003_SGB_120..	SGB_12011_k141_1958042	ranthipeptide	RiPPs		
c00003_SGB_121...region001	c00003_SGB_121..	SGB_12162_k141_2077072	betalactone	Others		
c00003_SGB_122...region001	c00003_SGB_122..	SGB_1224_k141_55540	terpene	Terpene		
c00003_SGB_123...region001	c00003_SGB_123..	SGB_12396_k141_432947	NRPS	NRPS		
c00003_SGB_124...region001	c00003_SGB_124..	SGB_12471_k141_1160001	betalactone	Others		
c00003_SGB_126...region001	c00003_SGB_126..	SGB_12699_k141_1032748	NRPS-like	NRPS		
c00003_SGB_127...region001	c00003_SGB_127..	SGB_12731_k141_324053	RRE-containing	RiPPs		
c00003_SGB_128...region001	c00003_SGB_128..	SGB_12864_k141_1680013	betalactone	Others		
c00003_SGB_129...region001	c00003_SGB_129..	SGB_12924_k141_3966	ranthipeptide	RiPPs		
c00003_SGB_130...region001	c00003_SGB_130..	SGB_13098_k141_873623	ranthipeptide	RiPPs		
c00003_SGB_133...region001	c00003_SGB_133..	SGB_13370_k141_414827	RRE-containing	RiPPs		
c00003_SGB_134...region001	c00003_SGB_134..	SGB_13410_k141_14308	RRE-containing	RiPPs		
c00003_SGB_321...region001	c00003_SGB_321..	SGB_3217_k141_514047	terpene	Terpene		
c00003_SGB_439...region001	c00003_SGB_439..	SGB_4396_k141_2329561	arylpolyene	Others		
c00003_SGB_440...region001	c00003_SGB_440..	SGB_4404_k141_1880950	ranthipeptide	RiPPs		
c00003_SGB_472...region001	c00003_SGB_472..	SGB_4725_k141_2194327	betalactone	Others		
c00003_SGB_481...region001	c00003_SGB_481..	SGB_4819_k141_1069587	RRE-containing	RiPPs		
c00003_SGB_500...region001	c00003_SGB_500..	SGB_5003_k141_1985824	RRE-containing	RiPPs		
c00003_SGB_509...region001	c00003_SGB_509..	SGB_509_k141_40879	RRE-containing	RiPPs		
c00003_SGB_513...region001	c00003_SGB_513..	SGB_5136_k141_1732884	RRE-containing	RiPPs		
c00003_SGB_516...region001	c00003_SGB_516..	SGB_5167_k141_14207	ranthipeptide	RiPPs		
c00003_SGB_577...region001	c00003_SGB_577..	SGB_5773_k141_2012808	ranthipeptide	RiPPs		
c00003_SGB_596...region001	c00003_SGB_596..	SGB_596_k141_1245361	hserlactone	Others		
c00003_SGB_602...region001	c00003_SGB_602..	SGB_602_k141_522032	ranthipeptide	RiPPs		
c00003_SGB_603...region001	c00003_SGB_603..	SGB_6036_k141_790546	betalactone	Others		
c00003_SGB_615...region001	c00003_SGB_615..	SGB_6151_k141_2376	NRPS-like	NRPS		
c00003_SGB_621...region001	c00003_SGB_621..	SGB_6219_k141_2312380	RRE-containing	RiPPs		
c00003_SGB_623...region001	c00003_SGB_623..	SGB_623_k141_2237989	betalactone	Others		
c00003_SGB_657...region001	c00003_SGB_657..	SGB_6570_k141_2261091	RRE-containing	RiPPs		
c00003_SGB_689...region001	c00003_SGB_689..	SGB_6890_k141_2408903	betalactone	Others		
c00003_SGB_722...region001	c00003_SGB_722..	SGB_7227_k141_1443720	hserlactone	Others		
c00003_SGB_723...region001	c00003_SGB_723..	SGB_7237_k141_3291698	T1PKS	PKSI		
c00003_SGB_741...region001	c00003_SGB_741..	SGB_741_k141_3060569	RRE-containing	RiPPs		
c00003_SGB_747...region001	c00003_SGB_747..	SGB_7477_k141_1020961	ranthipeptide	RiPPs		
c00003_SGB_820...region001	c00003_SGB_820..	SGB_8208_k141_1369057	betalactone	Others		
c00003_SGB_851...region001	c00003_SGB_851..	SGB_851_k141_1929428	ranthipeptide	RiPPs		
c00003_SGB_853...region001	c00003_SGB_853..	SGB_8531_k141_3049382	betalactone	Others		
c00003_SGB_870...region001	c00003_SGB_870..	SGB_8700_k141_584685	RRE-containing	RiPPs		
c00003_SGB_887...region001	c00003_SGB_887..	SGB_8874_k141_3289136	RiPP-like	RiPPs		
c00003_SGB_891...region001	c00003_SGB_891..	SGB_8919_k141_2002908	CDPS	Others		
c00003_SGB_941...region001	c00003_SGB_941..	SGB_9417_k141_1008039	betalactone	Others		
c00003_SGB_973...region001	c00003_SGB_973..	SGB_9738_k141_547804	RRE-containing	RiPPs		
c00003_SGB_984...region001	c00003_SGB_984..	SGB_984_k141_3033111	betalactone	Others		
c00003_SGB_988...region001	c00003_SGB_988..	SGB_9881_k141_104094	betalactone	Others		
c00004_SGB_101...region001	c00004_SGB_101..	SGB_10120_k141_805764	ranthipeptide	RiPPs		
c00004_SGB_102...region001	c00004_SGB_102..	SGB_10267_k141_1671117	RRE-containing	RiPPs		
c00004_SGB_104...region001	c00004_SGB_104..	SGB_1043_k141_1565247	NRPS	NRPS		
c00004_SGB_110...region001	c00004_SGB_110..	SGB_11014_k141_832818	RRE-containing	RiPPs		
c00004_SGB_111...region001	c00004_SGB_111..	SGB_11181_k141_2209527	NRPS-like	NRPS		
c00004_SGB_112...region001	c00004_SGB_112..	SGB_11277_k141_2175693	cyclic-lactone-autoinducer	RiPPs		
c00004_SGB_113...region001	c00004_SGB_113..	SGB_11370_k141_947091	cyclic-lactone-autoinducer	RiPPs		
c00004_SGB_115...region001	c00004_SGB_115..	SGB_1150_k141_766335	betalactone	Others		
c00004_SGB_116...region001	c00004_SGB_116..	SGB_11631_k141_983129	cyclic-lactone-autoinducer	RiPPs		
c00004_SGB_117...region001	c00004_SGB_117..	SGB_1179_k141_1286284	RRE-containing	RiPPs		
c00004_SGB_118...region001	c00004_SGB_118..	SGB_11897_k141_1589209	ranthipeptide	RiPPs		
c00004_SGB_120...region001	c00004_SGB_120..	SGB_12054_k141_695093	cyclic-lactone-autoinducer	RiPPs		
c00004_SGB_122...region001	c00004_SGB_122..	SGB_1228_k141_990834	ranthipeptide	RiPPs		
c00004_SGB_125...region001	c00004_SGB_125..	SGB_12502_k141_604599	betalactone	Others		
c00004_SGB_128...region001	c00004_SGB_128..	SGB_12884_k141_1423575	hglE-KS	PKSother		
c00004_SGB_129...region001	c00004_SGB_129..	SGB_12910_k141_327906	terpene	Terpene		
c00004_SGB_134...region001	c00004_SGB_134..	SGB_13401_k141_17934	RRE-containing	RiPPs		
c00004_SGB_137...region001	c00004_SGB_137..	SGB_13784_k141_1701784	RRE-containing	RiPPs		
c00004_SGB_376...region001	c00004_SGB_376..	SGB_376_k141_2124030	RRE-containing	RiPPs		
c00004_SGB_399...region001	c00004_SGB_399..	SGB_3997_k141_909188	NRPS	NRPS		
c00004_SGB_457...region001	c00004_SGB_457..	SGB_4572_k141_2068917	hserlactone	Others		
c00004_SGB_482...region001	c00004_SGB_482..	SGB_482_k141_939684	RRE-containing	RiPPs		
c00004_SGB_491...region001	c00004_SGB_491..	SGB_4917_k141_468674	ranthipeptide	RiPPs		
c00004_SGB_495...region001	c00004_SGB_495..	SGB_4953_k141_1784306	betalactone	Others		
c00004_SGB_513...region001	c00004_SGB_513..	SGB_5136_k141_818603	ranthipeptide	RiPPs		
c00004_SGB_602...region001	c00004_SGB_602..	SGB_602_k141_1554232	cyclic-lactone-autoinducer	RiPPs		
c00004_SGB_611...region001	c00004_SGB_611..	SGB_6117_k141_1376216	arylpolyene	Others		
c00004_SGB_630...region001	c00004_SGB_630..	SGB_6301_k141_1641085	RRE-containing	RiPPs		
c00004_SGB_638...region001	c00004_SGB_638..	SGB_6386_k141_1063898	RRE-containing	RiPPs		
c00004_SGB_660...region001	c00004_SGB_660..	SGB_6603_k141_62786	cyclic-lactone-autoinducer	RiPPs		
c00004_SGB_672...region001	c00004_SGB_672..	SGB_6724_k141_2042278	NRPS-like	NRPS		
c00004_SGB_677...region001	c00004_SGB_677..	SGB_677_k141_2046624	betalactone	Others		
c00004_SGB_692...region001	c00004_SGB_692..	SGB_6929_k141_3266400	betalactone	Others		
c00004_SGB_702...region001	c00004_SGB_702..	SGB_7025_k141_172335	betalactone	Others		
c00004_SGB_720...region001	c00004_SGB_720..	SGB_7203_k141_2491392	ranthipeptide	RiPPs		
c00004_SGB_723...region001	c00004_SGB_723..	SGB_7237_k141_2366822	arylpolyene	Others		
c00004_SGB_741...region001	c00004_SGB_741..	SGB_7410_k141_841892	betalactone	Others		
c00004_SGB_755...region001	c00004_SGB_755..	SGB_7552_k141_2857679	ranthipeptide	RiPPs		
c00004_SGB_896...region001	c00004_SGB_896..	SGB_8969_k141_2948847	hserlactone	Others		
c00004_SGB_921...region001	c00004_SGB_921..	SGB_9211_k141_1783574	RRE-containing	RiPPs		
c00004_SGB_941...region001	c00004_SGB_941..	SGB_9416_k141_3328886	betalactone	Others		
c00004_SGB_944...region001	c00004_SGB_944..	SGB_9446_k141_1154389	RRE-containing	RiPPs		
c00004_SGB_945...region001	c00004_SGB_945..	SGB_9455_k141_348450	NRPS-like	NRPS		
c00004_SGB_948...region001	c00004_SGB_948..	SGB_9485_k141_1261577	RRE-containing	RiPPs		
c00004_SGB_958...region001	c00004_SGB_958..	SGB_9582_k141_1209244	NRPS	NRPS		
c00004_SGB_973...region001	c00004_SGB_973..	SGB_9738_k141_1901588	ranthipeptide	RiPPs		
c00004_SGB_984...region001	c00004_SGB_984..	SGB_9842_k141_964600	RRE-containing	RiPPs		
c00005_SGB_101...region001	c00005_SGB_101..	SGB_10174_k141_1476515	ranthipeptide	RiPPs		
c00005_SGB_104...region001	c00005_SGB_104..	SGB_10457_k141_1090880	RRE-containing	RiPPs		
c00005_SGB_106...region001	c00005_SGB_106..	SGB_10699_k141_2287685	RRE-containing	RiPPs		
c00005_SGB_108...region001	c00005_SGB_108..	SGB_10875_k141_1814358	ranthipeptide	RiPPs		
c00005_SGB_109...region001	c00005_SGB_109..	SGB_10960_k141_3002231	betalactone	Others		
c00005_SGB_110...region001	c00005_SGB_110..	SGB_1102_k141_1269732	RRE-containing	RiPPs		
c00005_SGB_111...region001	c00005_SGB_111..	SGB_11170_k141_237452	RRE-containing	RiPPs		
c00005_SGB_112...region001	c00005_SGB_112..	SGB_11246_k141_1544358	betalactone	Others		
c00005_SGB_113...region001	c00005_SGB_113..	SGB_11391_k141_2122	thioamitides	RiPPs		
c00005_SGB_114...region001	c00005_SGB_114..	SGB_11457_k141_278841	RRE-containing	RiPPs		
c00005_SGB_115...region001	c00005_SGB_115..	SGB_11525_k141_784589	betalactone	Others		
c00005_SGB_118...region001	c00005_SGB_118..	SGB_11867_k141_2195118	RRE-containing	RiPPs		
c00005_SGB_120...region001	c00005_SGB_120..	SGB_1208_k141_709977	RRE-containing	RiPPs		
c00005_SGB_122...region001	c00005_SGB_122..	SGB_12267_k141_1240983	RRE-containing	RiPPs		
c00005_SGB_124...region001	c00005_SGB_124..	SGB_12498_k141_1128648	cyclic-lactone-autoinducer	RiPPs		
c00005_SGB_126...region001	c00005_SGB_126..	SGB_12648_k141_303580	RRE-containing	RiPPs		
c00005_SGB_128...region001	c00005_SGB_128..	SGB_12883_k141_1458493	ranthipeptide	RiPPs		
c00005_SGB_129...region001	c00005_SGB_129..	SGB_12957_k141_981736	RRE-containing	RiPPs		
c00005_SGB_130...region001	c00005_SGB_130..	SGB_13098_k141_673799	betalactone	Others		
c00005_SGB_132...region001	c00005_SGB_132..	SGB_13267_k141_1413478	ranthipeptide	RiPPs		
c00005_SGB_133...region001	c00005_SGB_133..	SGB_13338_k141_1622552	ranthipeptide	RiPPs		
c00005_SGB_376...region001	c00005_SGB_376..	SGB_376_k141_1087534	betalactone	Others		
c00005_SGB_381...region001	c00005_SGB_381..	SGB_3812_k141_1422698	RRE-containing	RiPPs		
c00005_SGB_419...region001	c00005_SGB_419..	SGB_4198_k141_335652	RiPP-like	RiPPs		
c00005_SGB_456...region001	c00005_SGB_456..	SGB_456_k141_3067542	ranthipeptide	RiPPs		
c00005_SGB_464...region001	c00005_SGB_464..	SGB_4642_k141_2255448	arylpolyene	Others		
c00005_SGB_516...region001	c00005_SGB_516..	SGB_5167_k141_175591	betalactone	Others		
c00005_SGB_524...region001	c00005_SGB_524..	SGB_5248_k141_3132071	RRE-containing	RiPPs		
c00005_SGB_531...region001	c00005_SGB_531..	SGB_5315_k141_2400116	betalactone	Others		
c00005_SGB_542...region001	c00005_SGB_542..	SGB_5427_k141_1999760	NRPS-like.NRPS	NRPS		
c00005_SGB_577...region001	c00005_SGB_577..	SGB_5773_k141_935912	RRE-containing	RiPPs		
c00005_SGB_608...region001	c00005_SGB_608..	SGB_6086_k141_174568	RRE-containing	RiPPs		
c00005_SGB_633...region001	c00005_SGB_633..	SGB_6336_k141_1143032	RRE-containing	RiPPs		
c00005_SGB_639...region001	c00005_SGB_639..	SGB_6392_k141_1164440	NRPS-like	NRPS		
c00005_SGB_674...region001	c00005_SGB_674..	SGB_6742_k141_2770170	RRE-containing	RiPPs		
c00005_SGB_699...region001	c00005_SGB_699..	SGB_6993_k141_1686122	RRE-containing	RiPPs		
c00005_SGB_737...region001	c00005_SGB_737..	SGB_7375_k141_2506110	betalactone	Others		
c00005_SGB_762...region001	c00005_SGB_762..	SGB_7629_k141_828202	RRE-containing	RiPPs		
c00005_SGB_783...region001	c00005_SGB_783..	SGB_7830_k141_2057705	ranthipeptide	RiPPs		
c00005_SGB_792...region001	c00005_SGB_792..	SGB_7924_k141_2560930	RRE-containing	RiPPs		
c00005_SGB_796...region001	c00005_SGB_796..	SGB_7966_k141_3738705	RRE-containing	RiPPs		
c00005_SGB_829...region001	c00005_SGB_829..	SGB_8290_k141_2229041	RRE-containing	RiPPs		
c00005_SGB_851...region001	c00005_SGB_851..	SGB_851_k141_1707359	cyclic-lactone-autoinducer	RiPPs		
c00005_SGB_852...region001	c00005_SGB_852..	SGB_8523_k141_2558585	RRE-containing	RiPPs		
c00005_SGB_886...region001	c00005_SGB_886..	SGB_886_k141_234065	betalactone	Others		
c00005_SGB_935...region001	c00005_SGB_935..	SGB_9355_k141_1889916	terpene	Terpene		
c00005_SGB_966...region001	c00005_SGB_966..	SGB_9660_k141_685839	RRE-containing	RiPPs		
c00005_SGB_971...region001	c00005_SGB_971..	SGB_9715_k141_1002979	RRE-containing	RiPPs		
c00005_SGB_991...region001	c00005_SGB_991..	SGB_9914_k141_2379944	RRE-containing	RiPPs		
c00005_SGB_993...region001	c00005_SGB_993..	SGB_9936_k141_3590	RRE-containing	RiPPs		
c00006_SGB_100...region001	c00006_SGB_100..	SGB_10083_k141_418981	RRE-containing	RiPPs		
c00006_SGB_101...region001	c00006_SGB_101..	SGB_1012_k141_1503672	RRE-containing	RiPPs		
c00006_SGB_103...region001	c00006_SGB_103..	SGB_10354_k141_1619823	RRE-containing	RiPPs		
c00006_SGB_104...region001	c00006_SGB_104..	SGB_10468_k141_963289	ranthipeptide	RiPPs		
c00006_SGB_106...region001	c00006_SGB_106..	SGB_10621_k141_1327597	RRE-containing	RiPPs		
c00006_SGB_107...region001	c00006_SGB_107..	SGB_10766_k141_59594	RRE-containing	RiPPs		
c00006_SGB_108...region001	c00006_SGB_108..	SGB_10884_k141_1913519	ranthipeptide	RiPPs		
c00006_SGB_111...region001	c00006_SGB_111..	SGB_11147_k141_1410946	terpene	Terpene		
c00006_SGB_112...region001	c00006_SGB_112..	SGB_11277_k141_227870	NRPS-like.NRPS	NRPS		
c00006_SGB_113...region001	c00006_SGB_113..	SGB_11342_k141_1420824	NRPS-like	NRPS		
c00006_SGB_116...region001	c00006_SGB_116..	SGB_11694_k141_421490	terpene	Terpene		
c00006_SGB_117...region001	c00006_SGB_117..	SGB_11752_k141_466193	ranthipeptide	RiPPs		
c00006_SGB_120...region001	c00006_SGB_120..	SGB_12065_k141_2608638	RRE-containing	RiPPs		
c00006_SGB_122...region001	c00006_SGB_122..	SGB_12282_k141_623249	cyclic-lactone-autoinducer	RiPPs		
c00006_SGB_123...region001	c00006_SGB_123..	SGB_12356_k141_104952	cyclic-lactone-autoinducer	RiPPs		
