BGC_ID,BGC_cluster_ID,BGC_Prediction,BiG-SCAPE_class
T1900044597_TS20190063_bin.186.fa.c00049_T190004...region001, T1900044597_TS20190063_bin.186_T1900044597_TS20190063_bin.186_contig_000049,RRE-containing,RiPPs
T1900044599_TS20190065_bin.58.fa.c00038_T190004...region001, T1900044599_TS20190065_bin.58_T1900044599_TS20190065_bin.58_contig_000038,ranthipeptide,RiPPs
T1900044599_TS20190065_bin.58.fa.c00055_T190004...region001, T1900044599_TS20190065_bin.58_T1900044599_TS20190065_bin.58_contig_000055,betalactone,Others
T1900044599_TS20190065_bin.58.fa.c00083_T190004...region001, T1900044599_TS20190065_bin.58_T1900044599_TS20190065_bin.58_contig_000083,RRE-containing,RiPPs
T1900044606_TS20190072_bin.204.fa.c00157_T190004...region001, T1900044606_TS20190072_bin.204_T1900044606_TS20190072_bin.204_contig_000157,RiPP-like,RiPPs
T1900044606_TS20190072_bin.204.fa.c00187_T190004...region001, T1900044606_TS20190072_bin.204_T1900044606_TS20190072_bin.204_contig_000187,RRE-containing,RiPPs
T1900044606_TS20190072_bin.204.fa.c00245_T190004...region001, T1900044606_TS20190072_bin.204_T1900044606_TS20190072_bin.204_contig_000245,ranthipeptide,RiPPs
T1900044608_TS20190074_bin.37.fa.c00002_T190004...region001, T1900044608_TS20190074_bin.37_T1900044608_TS20190074_bin.37_contig_000002,RRE-containing,RiPPs
T1900044608_TS20190074_bin.37.fa.c00023_T190004...region001, T1900044608_TS20190074_bin.37_T1900044608_TS20190074_bin.37_contig_000023,NRPS,NRPS
T1900044608_TS20190074_bin.37.fa.c00096_T190004...region001, T1900044608_TS20190074_bin.37_T1900044608_TS20190074_bin.37_contig_000096,betalactone,Others
T1900044608_TS20190074_bin.37.fa.c00147_T190004...region001, T1900044608_TS20190074_bin.37_T1900044608_TS20190074_bin.37_contig_000147,ranthipeptide,RiPPs
T1900044608_TS20190074_bin.37.fa.c00153_T190004...region001, T1900044608_TS20190074_bin.37_T1900044608_TS20190074_bin.37_contig_000153,NRPS-like,NRPS
T1900044611_TS20190077_bin.179.fa.c00054_T190004...region001, T1900044611_TS20190077_bin.179_T1900044611_TS20190077_bin.179_contig_000054,betalactone,Others
T1900044616_TS20190082_bin.130.fa.c00244_T190004...region001, T1900044616_TS20190082_bin.130_T1900044616_TS20190082_bin.130_contig_000244,ranthipeptide,RiPPs
T1900044621_TS20190087_bin.190.fa.c00013_T190004...region001, T1900044621_TS20190087_bin.190_T1900044621_TS20190087_bin.190_contig_000013,RRE-containing,RiPPs
T1900044621_TS20190087_bin.190.fa.c00015_T190004...region001, T1900044621_TS20190087_bin.190_T1900044621_TS20190087_bin.190_contig_000015,RRE-containing,RiPPs
T1900044621_TS20190087_bin.190.fa.c00044_T190004...region001, T1900044621_TS20190087_bin.190_T1900044621_TS20190087_bin.190_contig_000044,ranthipeptide,RiPPs
T1900044621_TS20190087_bin.190.fa.c00062_T190004...region001, T1900044621_TS20190087_bin.190_T1900044621_TS20190087_bin.190_contig_000062,betalactone,Others
T1900044627_TS20190093_bin.56.fa.c00007_T190004...region001, T1900044627_TS20190093_bin.56_T1900044627_TS20190093_bin.56_contig_000007,cyclic-lactone-autoinducer,RiPPs
T1900044627_TS20190093_bin.56.fa.c00023_T190004...region001, T1900044627_TS20190093_bin.56_T1900044627_TS20190093_bin.56_contig_000023,ranthipeptide,RiPPs
T1900044627_TS20190093_bin.56.fa.c00027_T190004...region001, T1900044627_TS20190093_bin.56_T1900044627_TS20190093_bin.56_contig_000027,NRPS-like,NRPS
T1900044629_TS20190095_bin.541.fa.c00012_T190004...region001, T1900044629_TS20190095_bin.541_T1900044629_TS20190095_bin.541_contig_000012,ranthipeptide,RiPPs
T1900044629_TS20190095_bin.541.fa.c00013_T190004...region001, T1900044629_TS20190095_bin.541_T1900044629_TS20190095_bin.541_contig_000013,RRE-containing,RiPPs
T1900044629_TS20190095_bin.541.fa.c00019_T190004...region001, T1900044629_TS20190095_bin.541_T1900044629_TS20190095_bin.541_contig_000019,RRE-containing,RiPPs
T1900044630_TS20190096_bin.263.fa.c00034_T190004...region001, T1900044630_TS20190096_bin.263_T1900044630_TS20190096_bin.263_contig_000034,ranthipeptide,RiPPs
T1900044637_TS20190103_bin.218.fa.c00012_T190004...region001, T1900044637_TS20190103_bin.218_T1900044637_TS20190103_bin.218_contig_000012,betalactone,Others
T1900044637_TS20190103_bin.218.fa.c00060_T190004...region001, T1900044637_TS20190103_bin.218_T1900044637_TS20190103_bin.218_contig_000060,ranthipeptide,RiPPs
T1900044642_TS20190108_bin.284.fa.c00052_T190004...region001, T1900044642_TS20190108_bin.284_T1900044642_TS20190108_bin.284_contig_000052,ranthipeptide,RiPPs
T1900044642_TS20190108_bin.284.fa.c00054_T190004...region001, T1900044642_TS20190108_bin.284_T1900044642_TS20190108_bin.284_contig_000054,betalactone,Others
T1900044645_TS20190111_bin.26.fa.c00008_T190004...region001, T1900044645_TS20190111_bin.26_T1900044645_TS20190111_bin.26_contig_000008,RiPP-like,RiPPs
T1900044645_TS20190111_bin.26.fa.c00024_T190004...region001, T1900044645_TS20190111_bin.26_T1900044645_TS20190111_bin.26_contig_000024,cyclic-lactone-autoinducer,RiPPs
T1900044645_TS20190111_bin.26.fa.c00025_T190004...region001, T1900044645_TS20190111_bin.26_T1900044645_TS20190111_bin.26_contig_000025,RRE-containing,RiPPs
T1900044645_TS20190111_bin.26.fa.c00033_T190004...region001, T1900044645_TS20190111_bin.26_T1900044645_TS20190111_bin.26_contig_000033,RRE-containing,RiPPs
T1900044645_TS20190111_bin.26.fa.c00043_T190004...region001, T1900044645_TS20190111_bin.26_T1900044645_TS20190111_bin.26_contig_000043,RRE-containing,RiPPs
T1900044645_TS20190111_bin.26.fa.c00044_T190004...region001, T1900044645_TS20190111_bin.26_T1900044645_TS20190111_bin.26_contig_000044,cyclic-lactone-autoinducer.ranthipeptide,RiPPs
T1900044650_TS20190116_bin.19.fa.c00018_T190004...region001, T1900044650_TS20190116_bin.19_T1900044650_TS20190116_bin.19_contig_000018,T1PKS,PKSI
T1900044650_TS20190116_bin.19.fa.c00039_T190004...region001, T1900044650_TS20190116_bin.19_T1900044650_TS20190116_bin.19_contig_000039,NRPS-like.NRPS,NRPS
T1900044650_TS20190116_bin.19.fa.c00115_T190004...region001, T1900044650_TS20190116_bin.19_T1900044650_TS20190116_bin.19_contig_000115,terpene,Terpene
T1900044650_TS20190116_bin.19.fa.c00127_T190004...region001, T1900044650_TS20190116_bin.19_T1900044650_TS20190116_bin.19_contig_000127,thiopeptide,RiPPs
T1900044650_TS20190116_bin.19.fa.c00140_T190004...region001, T1900044650_TS20190116_bin.19_T1900044650_TS20190116_bin.19_contig_000140,arylpolyene,Others
T1900044650_TS20190116_bin.19.fa.c00159_T190004...region001, T1900044650_TS20190116_bin.19_T1900044650_TS20190116_bin.19_contig_000159,arylpolyene,Others
T1900044657_TS20190123_bin.488.fa.c00011_T190004...region001, T1900044657_TS20190123_bin.488_T1900044657_TS20190123_bin.488_contig_000011,RRE-containing,RiPPs
T1900044657_TS20190123_bin.488.fa.c00039_T190004...region001, T1900044657_TS20190123_bin.488_T1900044657_TS20190123_bin.488_contig_000039,NRPS-like,NRPS
T1900044657_TS20190123_bin.488.fa.c00041_T190004...region001, T1900044657_TS20190123_bin.488_T1900044657_TS20190123_bin.488_contig_000041,NRPS,NRPS
T1900044657_TS20190123_bin.488.fa.c00097_T190004...region001, T1900044657_TS20190123_bin.488_T1900044657_TS20190123_bin.488_contig_000097,NRPS,NRPS
T1900044657_TS20190123_bin.488.fa.c00103_T190004...region001, T1900044657_TS20190123_bin.488_T1900044657_TS20190123_bin.488_contig_000103,ranthipeptide,RiPPs
T1900044660_TS20190126_bin.46.fa.c00100_T190004...region001, T1900044660_TS20190126_bin.46_T1900044660_TS20190126_bin.46_contig_000100,ranthipeptide,RiPPs
T1900044660_TS20190126_bin.46.fa.c00150_T190004...region001, T1900044660_TS20190126_bin.46_T1900044660_TS20190126_bin.46_contig_000150,cyclic-lactone-autoinducer,RiPPs
T1900044664_TS20190130_bin.172.fa.c00077_T190004...region001, T1900044664_TS20190130_bin.172_T1900044664_TS20190130_bin.172_contig_000077,RRE-containing,RiPPs
T1900044665_TS20190131_bin.280.fa.c00001_T190004...region001, T1900044665_TS20190131_bin.280_T1900044665_TS20190131_bin.280_contig_000001,betalactone,Others
T1900044665_TS20190131_bin.280.fa.c00031_T190004...region001, T1900044665_TS20190131_bin.280_T1900044665_TS20190131_bin.280_contig_000031,NRPS-like,NRPS
T1900044666_TS20190132_bin.140.fa.c00012_T190004...region001, T1900044666_TS20190132_bin.140_T1900044666_TS20190132_bin.140_contig_000012,ranthipeptide,RiPPs
T1900044688_TS20190154_bin.24.fa.c00001_T190004...region001, T1900044688_TS20190154_bin.24_T1900044688_TS20190154_bin.24_contig_000001,lanthipeptide-class-ii.RiPP-like,RiPPs
T1900044688_TS20190154_bin.24.fa.c00032_T190004...region001, T1900044688_TS20190154_bin.24_T1900044688_TS20190154_bin.24_contig_000032,ranthipeptide,RiPPs
T1900044691_TS20190157_bin.150.fa.c00008_T190004...region001, T1900044691_TS20190157_bin.150_T1900044691_TS20190157_bin.150_contig_000008,RRE-containing,RiPPs
T1900044691_TS20190157_bin.150.fa.c00009_T190004...region001, T1900044691_TS20190157_bin.150_T1900044691_TS20190157_bin.150_contig_000009,ranthipeptide,RiPPs
T1900044691_TS20190157_bin.150.fa.c00028_T190004...region001, T1900044691_TS20190157_bin.150_T1900044691_TS20190157_bin.150_contig_000028,cyclic-lactone-autoinducer,RiPPs
T1900044691_TS20190157_bin.150.fa.c00055_T190004...region001, T1900044691_TS20190157_bin.150_T1900044691_TS20190157_bin.150_contig_000055,cyclic-lactone-autoinducer,RiPPs
T1900044693_TS20190159_bin.99.fa.c00027_T190004...region001, T1900044693_TS20190159_bin.99_T1900044693_TS20190159_bin.99_contig_000027,RRE-containing,RiPPs
T1900044693_TS20190159_bin.99.fa.c00045_T190004...region001, T1900044693_TS20190159_bin.99_T1900044693_TS20190159_bin.99_contig_000045,betalactone,Others
T1900044696_TS20190162_bin.26.fa.c00024_T190004...region001, T1900044696_TS20190162_bin.26_T1900044696_TS20190162_bin.26_contig_000024,NRPS,NRPS
T1900044696_TS20190162_bin.26.fa.c00035_T190004...region001, T1900044696_TS20190162_bin.26_T1900044696_TS20190162_bin.26_contig_000035,RRE-containing,RiPPs
T1900044696_TS20190162_bin.26.fa.c00045_T190004...region001, T1900044696_TS20190162_bin.26_T1900044696_TS20190162_bin.26_contig_000045,betalactone,Others
T1900044696_TS20190162_bin.26.fa.c00081_T190004...region001, T1900044696_TS20190162_bin.26_T1900044696_TS20190162_bin.26_contig_000081,ranthipeptide,RiPPs
T1900044697_TS20190163_bin.19.fa.c00010_T190004...region001, T1900044697_TS20190163_bin.19_T1900044697_TS20190163_bin.19_contig_000010,ranthipeptide,RiPPs
T1900044697_TS20190163_bin.19.fa.c00021_T190004...region001, T1900044697_TS20190163_bin.19_T1900044697_TS20190163_bin.19_contig_000021,NRPS-like,NRPS
T1900044697_TS20190163_bin.19.fa.c00036_T190004...region001, T1900044697_TS20190163_bin.19_T1900044697_TS20190163_bin.19_contig_000036,RRE-containing,RiPPs
T1900044697_TS20190163_bin.19.fa.c00038_T190004...region001, T1900044697_TS20190163_bin.19_T1900044697_TS20190163_bin.19_contig_000038,ranthipeptide,RiPPs
T1900044697_TS20190163_bin.19.fa.c00076_T190004...region001, T1900044697_TS20190163_bin.19_T1900044697_TS20190163_bin.19_contig_000076,betalactone,Others
T1900044697_TS20190163_bin.19.fa.c00135_T190004...region001, T1900044697_TS20190163_bin.19_T1900044697_TS20190163_bin.19_contig_000135,RRE-containing,RiPPs
T1900044698_TS20190164_bin.79.fa.c00036_T190004...region001, T1900044698_TS20190164_bin.79_T1900044698_TS20190164_bin.79_contig_000036,terpene,Terpene
T1900044698_TS20190164_bin.79.fa.c00100_T190004...region001, T1900044698_TS20190164_bin.79_T1900044698_TS20190164_bin.79_contig_000100,terpene,Terpene
T1900044708_TS20190174_bin.261.fa.c00001_T190004...region001, T1900044708_TS20190174_bin.261_T1900044708_TS20190174_bin.261_contig_000001,arylpolyene,Others
T1900044708_TS20190174_bin.261.fa.c00059_T190004...region001, T1900044708_TS20190174_bin.261_T1900044708_TS20190174_bin.261_contig_000059,betalactone,Others
T1900044713_TS20190179_bin.225.fa.c00045_T190004...region001, T1900044713_TS20190179_bin.225_T1900044713_TS20190179_bin.225_contig_000045,ranthipeptide,RiPPs
T1900044713_TS20190179_bin.225.fa.c00146_T190004...region001, T1900044713_TS20190179_bin.225_T1900044713_TS20190179_bin.225_contig_000146,betalactone,Others
T1900044714_TS20190180_bin.102.fa.c00064_T190004...region001, T1900044714_TS20190180_bin.102_T1900044714_TS20190180_bin.102_contig_000064,ranthipeptide,RiPPs
T1900044714_TS20190180_bin.102.fa.c00065_T190004...region001, T1900044714_TS20190180_bin.102_T1900044714_TS20190180_bin.102_contig_000065,RRE-containing,RiPPs
T1900044714_TS20190180_bin.102.fa.c00071_T190004...region001, T1900044714_TS20190180_bin.102_T1900044714_TS20190180_bin.102_contig_000071,betalactone,Others
T1900044714_TS20190180_bin.199.fa.c00003_T190004...region001, T1900044714_TS20190180_bin.199_T1900044714_TS20190180_bin.199_contig_000003,T1PKS,PKSI
T1900044714_TS20190180_bin.199.fa.c00005_T190004...region001, T1900044714_TS20190180_bin.199_T1900044714_TS20190180_bin.199_contig_000005,arylpolyene,Others
T1900044714_TS20190180_bin.199.fa.c00017_T190004...region001, T1900044714_TS20190180_bin.199_T1900044714_TS20190180_bin.199_contig_000017,terpene,Terpene
T1900044714_TS20190180_bin.199.fa.c00017_T190004...region002, T1900044714_TS20190180_bin.199_T1900044714_TS20190180_bin.199_contig_000017,terpene,Terpene
T1900044714_TS20190180_bin.81.fa.c00014_T190004...region001, T1900044714_TS20190180_bin.81_T1900044714_TS20190180_bin.81_contig_000014,arylpolyene,Others
T1900044714_TS20190180_bin.81.fa.c00098_T190004...region001, T1900044714_TS20190180_bin.81_T1900044714_TS20190180_bin.81_contig_000098,arylpolyene,Others
T1900044714_TS20190180_bin.81.fa.c00195_T190004...region001, T1900044714_TS20190180_bin.81_T1900044714_TS20190180_bin.81_contig_000195,betalactone,Others
T1900044718_TS20190184_bin.41.fa.c00191_T190004...region001, T1900044718_TS20190184_bin.41_T1900044718_TS20190184_bin.41_contig_000191,betalactone,Others
T1900044724_TS20190190_bin.338.fa.c00020_T190004...region001, T1900044724_TS20190190_bin.338_T1900044724_TS20190190_bin.338_contig_000020,terpene,Terpene
T1900044724_TS20190190_bin.338.fa.c00035_T190004...region001, T1900044724_TS20190190_bin.338_T1900044724_TS20190190_bin.338_contig_000035,terpene,Terpene
T1900044725_TS20190191_bin.346.fa.c00009_T190004...region001, T1900044725_TS20190191_bin.346_T1900044725_TS20190191_bin.346_contig_000009,thiopeptide,RiPPs
T1900044725_TS20190191_bin.346.fa.c00044_T190004...region001, T1900044725_TS20190191_bin.346_T1900044725_TS20190191_bin.346_contig_000044,betalactone,Others
T1900044727_TS20190193_bin.357.fa.c00101_T190004...region001, T1900044727_TS20190193_bin.357_T1900044727_TS20190193_bin.357_contig_000101,arylpolyene,Others
T1900044732_TS20190198_bin.214.fa.c00014_T190004...region001, T1900044732_TS20190198_bin.214_T1900044732_TS20190198_bin.214_contig_000014,RiPP-like,RiPPs
T1900044732_TS20190198_bin.214.fa.c00043_T190004...region001, T1900044732_TS20190198_bin.214_T1900044732_TS20190198_bin.214_contig_000043,RiPP-like,RiPPs
T1900044732_TS20190198_bin.214.fa.c00056_T190004...region001, T1900044732_TS20190198_bin.214_T1900044732_TS20190198_bin.214_contig_000056,RiPP-like,RiPPs
T1900044737_TS20190203_bin.47.fa.c00001_T190004...region001, T1900044737_TS20190203_bin.47_T1900044737_TS20190203_bin.47_contig_000001,NRPS-like,NRPS
T1900044737_TS20190203_bin.47.fa.c00007_T190004...region001, T1900044737_TS20190203_bin.47_T1900044737_TS20190203_bin.47_contig_000007,betalactone,Others
T1900044737_TS20190203_bin.47.fa.c00064_T190004...region001, T1900044737_TS20190203_bin.47_T1900044737_TS20190203_bin.47_contig_000064,ranthipeptide,RiPPs
T1900044743_TS20190209_bin.400.fa.c00004_T190004...region001, T1900044743_TS20190209_bin.400_T1900044743_TS20190209_bin.400_contig_000004,NRPS-like,NRPS
T1900044743_TS20190209_bin.400.fa.c00006_T190004...region001, T1900044743_TS20190209_bin.400_T1900044743_TS20190209_bin.400_contig_000006,RRE-containing,RiPPs
T1900044743_TS20190209_bin.400.fa.c00021_T190004...region001, T1900044743_TS20190209_bin.400_T1900044743_TS20190209_bin.400_contig_000021,RRE-containing,RiPPs
T1900044744_TS20190210_bin.221.fa.c00006_T190004...region001, T1900044744_TS20190210_bin.221_T1900044744_TS20190210_bin.221_contig_000006,NRPS-like,NRPS
T1900044744_TS20190210_bin.221.fa.c00007_T190004...region001, T1900044744_TS20190210_bin.221_T1900044744_TS20190210_bin.221_contig_000007,betalactone,Others
T1900044744_TS20190210_bin.221.fa.c00044_T190004...region001, T1900044744_TS20190210_bin.221_T1900044744_TS20190210_bin.221_contig_000044,RRE-containing,RiPPs
T1900044744_TS20190210_bin.221.fa.c00057_T190004...region001, T1900044744_TS20190210_bin.221_T1900044744_TS20190210_bin.221_contig_000057,betalactone,Others
T1900044748_TS20190414_bin.105.fa.c00075_T190004...region001, T1900044748_TS20190414_bin.105_T1900044748_TS20190414_bin.105_contig_000075,RRE-containing,RiPPs
T1900044748_TS20190414_bin.105.fa.c00182_T190004...region001, T1900044748_TS20190414_bin.105_T1900044748_TS20190414_bin.105_contig_000182,ranthipeptide,RiPPs
T1900044752_TS20190418_bin.168.fa.c00171_T190004...region001, T1900044752_TS20190418_bin.168_T1900044752_TS20190418_bin.168_contig_000171,arylpolyene,Others
T1900044755_TS20190421_bin.302.fa.c00084_T190004...region001, T1900044755_TS20190421_bin.302_T1900044755_TS20190421_bin.302_contig_000084,RRE-containing,RiPPs
T1900044757_TS20190223_bin.317.fa.c00133_T190004...region001, T1900044757_TS20190223_bin.317_T1900044757_TS20190223_bin.317_contig_000133,betalactone,Others
T1900044757_TS20190223_bin.317.fa.c00138_T190004...region001, T1900044757_TS20190223_bin.317_T1900044757_TS20190223_bin.317_contig_000138,RRE-containing,RiPPs
T1900044757_TS20190223_bin.317.fa.c00147_T190004...region001, T1900044757_TS20190223_bin.317_T1900044757_TS20190223_bin.317_contig_000147,ranthipeptide,RiPPs
T1900044757_TS20190223_bin.93.fa.c00007_T190004...region001, T1900044757_TS20190223_bin.93_T1900044757_TS20190223_bin.93_contig_000007,RRE-containing,RiPPs
T1900044757_TS20190223_bin.93.fa.c00019_T190004...region001, T1900044757_TS20190223_bin.93_T1900044757_TS20190223_bin.93_contig_000019,NRPS-like,NRPS
T1900044757_TS20190223_bin.93.fa.c00050_T190004...region001, T1900044757_TS20190223_bin.93_T1900044757_TS20190223_bin.93_contig_000050,betalactone,Others
T1900044757_TS20190223_bin.93.fa.c00120_T190004...region001, T1900044757_TS20190223_bin.93_T1900044757_TS20190223_bin.93_contig_000120,RRE-containing,RiPPs
T1900044764_TS20190230_bin.38.fa.c00003_T190004...region001, T1900044764_TS20190230_bin.38_T1900044764_TS20190230_bin.38_contig_000003,NRPS-like,NRPS
T1900044764_TS20190230_bin.38.fa.c00064_T190004...region001, T1900044764_TS20190230_bin.38_T1900044764_TS20190230_bin.38_contig_000064,NRPS-like,NRPS
T1900044765_TS20190231_bin.245.fa.c00028_T190004...region001, T1900044765_TS20190231_bin.245_T1900044765_TS20190231_bin.245_contig_000028,NRPS-like,NRPS
T1900044767_TS20190233_bin.202.fa.c00025_T190004...region001, T1900044767_TS20190233_bin.202_T1900044767_TS20190233_bin.202_contig_000025,RRE-containing,RiPPs
T1900044767_TS20190233_bin.202.fa.c00046_T190004...region001, T1900044767_TS20190233_bin.202_T1900044767_TS20190233_bin.202_contig_000046,ranthipeptide,RiPPs
T1900044767_TS20190233_bin.202.fa.c00077_T190004...region001, T1900044767_TS20190233_bin.202_T1900044767_TS20190233_bin.202_contig_000077,RRE-containing,RiPPs
T1900044769_TS20190235_bin.83.fa.c00126_T190004...region001, T1900044769_TS20190235_bin.83_T1900044769_TS20190235_bin.83_contig_000126,arylpolyene,Others
T1900044769_TS20190235_bin.83.fa.c00426_T190004...region001, T1900044769_TS20190235_bin.83_T1900044769_TS20190235_bin.83_contig_000426,hglE-KS,PKSother
T1900044769_TS20190235_bin.83.fa.c00462_T190004...region001, T1900044769_TS20190235_bin.83_T1900044769_TS20190235_bin.83_contig_000462,arylpolyene,Others
T1900044778_TS20190244_bin.508.fa.c00006_T190004...region001, T1900044778_TS20190244_bin.508_T1900044778_TS20190244_bin.508_contig_000006,RRE-containing,RiPPs
T1900044778_TS20190244_bin.508.fa.c00009_T190004...region001, T1900044778_TS20190244_bin.508_T1900044778_TS20190244_bin.508_contig_000009,ranthipeptide,RiPPs
T1900044778_TS20190244_bin.508.fa.c00058_T190004...region001, T1900044778_TS20190244_bin.508_T1900044778_TS20190244_bin.508_contig_000058,NRPS-like,NRPS
T1900044780_TS20190246_bin.157.fa.c00021_T190004...region001, T1900044780_TS20190246_bin.157_T1900044780_TS20190246_bin.157_contig_000021,hserlactone,Others
T1900044789_TS20190255_bin.26.fa.c00134_T190004...region001, T1900044789_TS20190255_bin.26_T1900044789_TS20190255_bin.26_contig_000134,RRE-containing,RiPPs
T1900044789_TS20190255_bin.26.fa.c00145_T190004...region001, T1900044789_TS20190255_bin.26_T1900044789_TS20190255_bin.26_contig_000145,ranthipeptide,RiPPs
T1900044789_TS20190255_bin.26.fa.c00178_T190004...region001, T1900044789_TS20190255_bin.26_T1900044789_TS20190255_bin.26_contig_000178,RRE-containing,RiPPs
T1900044795_TS20190261_bin.237.fa.c00009_T190004...region001, T1900044795_TS20190261_bin.237_T1900044795_TS20190261_bin.237_contig_000009,betalactone,Others
T1900044795_TS20190261_bin.237.fa.c00057_T190004...region001, T1900044795_TS20190261_bin.237_T1900044795_TS20190261_bin.237_contig_000057,RRE-containing,RiPPs
T1900044796_TS20190262_bin.253.fa.c00005_T190004...region001, T1900044796_TS20190262_bin.253_T1900044796_TS20190262_bin.253_contig_000005,RRE-containing,RiPPs
T1900044796_TS20190262_bin.253.fa.c00019_T190004...region001, T1900044796_TS20190262_bin.253_T1900044796_TS20190262_bin.253_contig_000019,RRE-containing,RiPPs
T1900044797_TS20190263_bin.63.fa.c00010_T190004...region001, T1900044797_TS20190263_bin.63_T1900044797_TS20190263_bin.63_contig_000010,arylpolyene,Others
T1900044797_TS20190263_bin.63.fa.c00052_T190004...region001, T1900044797_TS20190263_bin.63_T1900044797_TS20190263_bin.63_contig_000052,arylpolyene,Others
T1900044807_TS20190273_bin.142.fa.c00057_T190004...region001, T1900044807_TS20190273_bin.142_T1900044807_TS20190273_bin.142_contig_000057,cyclic-lactone-autoinducer,RiPPs
T1900044807_TS20190273_bin.142.fa.c00087_T190004...region001, T1900044807_TS20190273_bin.142_T1900044807_TS20190273_bin.142_contig_000087,ranthipeptide,RiPPs
T1900044809_TS20190275_bin.131.fa.c00030_T190004...region001, T1900044809_TS20190275_bin.131_T1900044809_TS20190275_bin.131_contig_000030,betalactone,Others
T1900044809_TS20190275_bin.131.fa.c00051_T190004...region001, T1900044809_TS20190275_bin.131_T1900044809_TS20190275_bin.131_contig_000051,RRE-containing,RiPPs
T1900044811_TS20190277_bin.51.fa.c00047_T190004...region001, T1900044811_TS20190277_bin.51_T1900044811_TS20190277_bin.51_contig_000047,terpene,Terpene
T1900044811_TS20190277_bin.51.fa.c00063_T190004...region001, T1900044811_TS20190277_bin.51_T1900044811_TS20190277_bin.51_contig_000063,RRE-containing,RiPPs
T1900044812_TS20190278_bin.54.fa.c00003_T190004...region001, T1900044812_TS20190278_bin.54_T1900044812_TS20190278_bin.54_contig_000003,betalactone,Others
T1900044812_TS20190278_bin.54.fa.c00027_T190004...region001, T1900044812_TS20190278_bin.54_T1900044812_TS20190278_bin.54_contig_000027,ranthipeptide,RiPPs
